iter	Passed	Remaining
0	3	345
1	7	354
2	10	333
3	13	313
4	16	315
5	19	311
6	23	310
7	26	303
8	29	298
9	32	289
10	34	282
11	37	277
12	40	271
13	43	269
14	47	267
15	50	265
16	53	261
17	56	259
18	60	258
19	63	255
20	67	252
21	70	248
22	73	246
23	76	243
24	80	241
25	83	238
26	87	237
27	91	235
28	94	231
29	97	228
30	101	226
31	104	222
32	107	218
33	111	215
34	114	212
35	117	209
36	121	206
37	125	204
38	128	200
39	131	197
40	135	194
41	136	188
42	139	185
43	143	182
44	146	178
45	149	175
46	152	171
47	157	170
48	161	168
49	165	165
50	168	162
51	172	159
52	176	156
53	179	152
54	181	148
55	184	145
56	187	141
57	191	138
58	194	135
59	198	132
60	201	128
61	204	125
62	208	122
63	211	119
64	215	116
65	218	112
66	221	109
67	225	106
68	228	102
69	232	99
70	235	96
71	239	92
72	242	89
73	245	86
74	248	82
75	252	79
76	255	76
77	258	73
78	262	69
79	265	66
80	269	63
81	272	59
82	276	56
83	278	53
84	281	49
85	285	46
86	288	43
87	291	39
88	294	36
89	297	33
90	300	29
91	304	26
92	307	23
93	310	19
94	313	16
95	316	13
96	320	9
97	324	6
98	327	3
99	330	0
