iter	Passed	Remaining
0	150	149878
1	150	75211
2	151	50322
3	152	37960
4	153	30588
5	155	25705
6	156	22159
7	157	19530
8	159	17520
9	160	15855
10	161	14486
11	162	13346
12	163	12387
13	164	11552
14	164	10823
15	165	10182
16	166	9613
17	166	9109
18	167	8662
19	168	8258
20	169	7895
21	170	7564
22	170	7258
23	171	6976
24	172	6716
25	172	6475
26	173	6251
27	174	6044
28	174	5854
29	175	5678
30	176	5514
31	177	5358
32	177	5209
33	178	5068
34	179	4936
35	179	4811
36	180	4694
37	181	4587
38	182	4487
39	182	4390
40	183	4298
41	184	4209
42	185	4126
43	186	4043
44	186	3966
45	187	3892
46	188	3821
47	189	3751
48	189	3683
49	190	3621
50	191	3559
51	191	3498
52	192	3440
53	193	3385
54	193	3331
55	194	3279
56	195	3229
57	195	3183
58	196	3137
59	197	3093
60	198	3050
61	198	3007
62	199	2966
63	200	2926
64	200	2889
65	201	2851
66	202	2815
67	202	2779
68	203	2745
69	204	2712
70	204	2679
71	205	2647
72	206	2616
73	206	2586
74	207	2557
75	208	2531
76	208	2504
77	209	2481
78	210	2457
79	211	2432
80	212	2409
81	213	2385
82	213	2358
83	214	2335
84	214	2313
85	215	2292
86	216	2270
87	217	2249
88	217	2228
89	218	2207
90	218	2187
91	219	2167
92	220	2148
93	221	2130
94	221	2112
95	222	2094
96	223	2076
97	223	2058
98	224	2042
99	225	2027
100	226	2012
101	226	1996
102	227	1981
103	228	1966
104	229	1952
105	229	1937
106	230	1924
107	231	1910
108	231	1895
109	232	1881
110	233	1867
111	233	1854
112	234	1840
113	235	1827
114	235	1815
115	236	1804
116	237	1792
117	238	1782
118	239	1771
119	240	1762
120	241	1752
121	241	1741
122	242	1731
123	243	1721
124	244	1711
125	245	1700
126	245	1689
127	246	1678
128	247	1668
129	247	1658
130	248	1648
131	249	1639
132	250	1630
133	250	1620
134	251	1611
135	252	1602
136	253	1593
137	253	1584
138	254	1576
139	255	1568
140	255	1559
141	256	1549
142	257	1540
143	257	1532
144	258	1523
145	259	1515
146	259	1506
147	260	1498
148	261	1490
149	261	1482
150	262	1474
151	262	1467
152	263	1459
153	264	1452
154	265	1445
155	265	1437
156	266	1430
157	267	1423
158	267	1416
159	268	1409
160	269	1402
161	269	1395
162	270	1389
163	271	1383
164	272	1376
165	272	1370
166	273	1364
167	274	1357
168	274	1351
169	275	1345
170	276	1338
171	276	1332
172	277	1326
173	278	1321
174	279	1315
175	279	1309
176	280	1303
177	281	1297
178	281	1291
179	282	1286
180	282	1280
181	283	1274
182	284	1269
183	285	1264
184	285	1259
